sample_id,true_label,cnn_pred,cnn_confidence,cnn_error_type,manual_avg_zero_shot,manual_avg_one_shot,manual_avg_few_shot,dominant_prompt
<<<<<<< HEAD
2189,1,0,0.4786,FN,3.0,4.67,3.67,one_shot
483,1,0,0.2466,FN,4.67,4.67,4.33,zero_shot
4253,1,0,0.3332,FN,4.67,4.67,4.33,zero_shot
2434,0,1,0.5357,FP,4.33,3.33,4.33,zero_shot
1935,0,1,0.5147,FP,4.67,3.67,4.67,zero_shot
3704,0,1,0.5383,FP,3.33,3.67,3.67,one_shot
370,1,0,0.4653,FN,4.67,3.0,3.67,zero_shot
4136,1,0,0.3871,FN,3.67,3.67,3.0,zero_shot
3021,0,1,0.5412,FP,3.67,3.67,4.67,few_shot
4478,0,1,0.5275,FP,5.0,3.67,4.67,zero_shot
901,0,1,0.5737,FP,4.67,4.33,4.67,zero_shot
4879,1,0,0.4401,FN,4.67,4.33,5.0,few_shot
501,1,0,0.478,FN,4.67,4.67,4.67,zero_shot
4654,1,0,0.3424,FN,4.67,5.0,3.0,one_shot
3445,1,0,0.2568,FN,3.67,4.67,4.33,one_shot
5294,0,1,0.551,FP,4.0,3.67,4.67,few_shot
2414,1,0,0.4088,FN,4.33,4.67,4.67,one_shot
4679,1,0,0.3808,FN,4.67,4.67,5.0,few_shot
2969,0,1,0.6496,FP,3.67,3.67,3.67,zero_shot
2016,0,1,0.5055,FP,4.67,4.0,4.33,zero_shot
4513,1,0,0.3348,FN,3.0,3.0,3.0,zero_shot
=======
>>>>>>> 786234e1af7e83a1d2dfc59296b5812fe59318d9
